SMILES,mol_id,dis_sim,mw,rb,sim
CC(=O)N1CCCCC(=O)C(=CNc2cccnc2Cl)CCCC1,2,0.539407492,0.805082023,1,0.393939406
CC(=O)N1CCCCC(=O)C(=CNc2cccnc2Cl)CCCCC1,2,0.554933548,0.758117557,1,0.388059705
Cc1nc(Cl)c(NC=C2C(=O)N(C)C(=O)N(C)C2=O)c(C)c1Cl,2,0.606530666,0.997191429,1,0.311475396
CC(=O)N1CCCC(=CNc2cccnc2Cl)C(=C(Cl)Cl)C1,2,0.611543179,0.914614022,1,0.362318844
C1C#CC(=CO)C(=CNC2=CC=CN=C2Cl)C(=PO)N(Cl)C1=B,2,0.626089334,0.636468589,1,0.342465758
COC(=O)C1CCCCN1C(=O)C1=CC=C(Br)C=CCO1,5,0.6569556,0.99973321,1,0.363636374
CCOC(=O)C(=O)N1CCCCC1C(=O)NC1=NCCCCC1S,5,0.786907196,0.99514097,1,0.378787875
CCOC(=O)C1CCCCN1C(=O)C(=O)NC1=NCCCCCCO1,5,0.798076093,0.955191016,1,0.532258093
CCOC(=O)C1CCCCN1C(=O)C(=O)N1CCCCC2CCCC=C21,5,0.805911481,0.834116101,1,0.578947365
COC(=O)C1CCCCN1C(=O)C(C)=C1CCC=C(Br)O1,5,0.806544662,0.984195113,1,0.400000006
COC(=O)C1CCCCN1C(=O)C1(C)CCC=C(Br)CO1,5,0.850491703,0.930309474,1,0.352941185
CCOC(=O)C1CCCCN1C(=O)C(=O)N1CCCCCCCCC1,5,0.875937045,0.924147189,1,0.549019635
CCOC(=O)C1CCCCN1C(=O)C(=O)N1CCCCCCCCCC1,5,0.88090539,0.603194773,1,0.549019635
CC(=O)C1CCCCN1C(=S)C1CCCCCCCCCOC1=O,5,0.9046157,0.958291948,1,0.344262302
CC(=O)C1CCCCCN1C(=O)C1=CCCCCCOCCC1Cl,5,0.9046157,0.99853766,1,0.343283594
CC(=O)C1CCCCN1C(=O)C(=O)N1CCCCC1C1=CCCCO1,5,0.908552289,0.725916624,1,0.482758611
O=C(SC(=NO)N1CCCCCC1C(=O)SO)C1=CCCCO1,5,0.930772722,0.922746718,1,0.430769235
CC(=O)C1CCCCN1C(=S)C1CCCCCCCCOC1=S,5,0.955781579,0.996152997,1,0.338709682
CC(=O)C1CCCCN1C(=O)C(=O)N1CCCCC1C1OCCCO1,5,0.959439754,0.922524571,1,0.355932206
CC(=O)C1CCCCN1C(=O)C(=O)NC1CCCCCCCCCO1,5,0.959439754,0.924147189,1,0.317460328
CC(=O)C1CCCCN1C(=O)C(=O)N1CCCCC1C1CCCCCO1,5,0.961102068,0.723881483,1,0.349999994
CC(=O)C1CCCCN1C(=O)C(=O)N1CCCCCC1C1CCCCC1,5,0.961102068,0.831900477,1,0.333333343
C=CC#CC#CC#CC(=O)C(=O)N1CCCCC1C(=O)OC#CC#CC=C,5,0.962154508,0.99579525,1,0.313432842
O=C(Nc1ccccc1)C1CCCCCCCCC(O)CCC(O)CC1,6,0.766135156,0.878990471,1,0.407407403
O=C(Nc1ccccc1)C1CCCCCCC(O)CCCCCCCC1,6,0.76908797,0.952879071,1,0.396226406
O=C(Nc1ccccc1)C1CCC2CCCCC(CCCC2)C(O)CC1,6,0.76908797,0.994066298,1,0.37931034
O=C(Nc1ccccc1)C1CCC2CCC3(CCCC3)C(O)CCC2C1,6,0.76908797,0.995730996,1,0.34375
O=C(CSc1=NPC(O)=C=P1C)N1CCc2ccccc2C1,8,0.512039661,0.918970168,1,0.533333361
C[SH](SC1=NP=CC(O)=N1)C(=O)N1CCC2=CC=CC=C2C1,8,0.512039661,0.954901397,1,0.475409836
O=C(CSC1=NCC(O)N=C1)N1CCc2ccccc2CCCCC1,8,0.564925015,0.954610825,1,0.400000006
O=C(CSC1=NCCCN1)N1CCc2ccccc2CCCCCC1,8,0.620209455,0.953322232,1,0.435483873
O=C(CSC1=NCCO1)N1CCc2ccccc2CCCCCCC1,8,0.66966331,0.920287728,1,0.44262296
O=C(CSC(=S)N1CCCC(O)C1)N1CCc2ccccc2C1,8,0.687220037,0.838367105,1,0.435483873
O=C(SSC1=NC=CC(O)=N1)N1CCC2=BBCCCBC=C2C1,8,0.702897966,0.999032497,1,0.385714293
O=C(CSC(=S)N1CCCCC1)N1CCc2cccc(O)c2C1,8,0.73699379,0.838367105,1,0.380952388
O=C(CSC(=S)N1CCCC1)N1CCc2ccccc2CCCC1,8,0.750541389,0.829370379,1,0.403508782
O=C(SSC1=NC=CC(O)=N1)N1CCC2CBCBCCC2C1,8,0.786907196,0.7634058,1,0.352941185
O=C(SSC1=NC=CC(O)=N1)N1CCCN2CBCBCCC2C1,8,0.795363665,0.745340228,1,0.333333343
O=C(CSC1=NPCPCC(O)=N1)N1CCC2=BCCB=C2C1,8,0.868827522,0.696449399,1,0.318840593
O=C(CSC1=NC(Cl)=CCC1)N1CCCCCCCCCCC1,8,0.903247952,0.998669624,1,0.311475396
O=C(CSC1=NC(O)=CCC1)N1CCCCCCCCCCCC1,8,0.907267153,0.926661372,1,0.316666663
O=C(CSC1=NCCC=C1)N1CCCCCCCCCCCCC1,8,0.908552289,0.841492534,1,0.300000012
O=C(CSC1=NC(O)=CCC1)N1CCCCCCCCCCCCC1,8,0.911045074,0.59901005,1,0.316666663
O=C(CSC1=NCCC=C1)N1CCCCCCCCCCCCCC1,8,0.912254095,0.717289686,1,0.300000012
O=C1CC2(CCCC2)CC(=O)N1C1CCN(c2cccc(Cl)c2)CC1,9,0.50862664,0.906214535,1,0.584905684
O=C1CC2(CCCC2)CC(=O)N1N1CCN(c2cccc(Cl)c2)CC1,9,0.559964657,0.863114953,1,0.639999986
Nc1cccc(N2CCN(C3(N)C(=O)CC4(CCCC4)CC3=O)CC2)c1,9,0.569815516,0.999997377,1,0.431034476
B=C1CC2(CCCC2)CC(=O)N1N1CCN(c2cccc(Cl)c2)CC1,9,0.66151464,0.992255092,1,0.581818163
OCC1CC2(CCCC2)CC(N2CCN(c3cccc(Cl)c3)CC2)=N1,9,0.665622473,0.86104846,1,0.475409836
O=C1CC2(CCCC2)CC(O)CN1C1CCN(c2cccc(F)c2)CC1,9,0.673638463,0.922153711,1,0.367647052
Nc1cccc(N2CCN(C3(N)CC(=O)C4CCCCC4CC3)CC2)c1,9,0.673638463,0.999977529,1,0.304347813
CC1CC2(CCCC2)CC(N2CCN(c3cccc(Cl)c3)C2)S1,9,0.691243827,0.86019969,1,0.40625
O=C1CC2(CCCC2)CCN1N1CCN(c2cccc(Cl)c2)CC1,9,0.702897966,0.693425655,1,0.584905684
N#CC1(N2CCN(c3cccc(N)c3)CC2)CC(=O)C2(CCCC2)CC1,9,0.721013248,0.924403965,1,0.328358203
OC1CC2(CCCC2)CC(N2CCN(c3cccc(Cl)c3)CC2)C1,9,0.795363665,0.753196418,1,0.474576265
OC1CC2(CCCC2)CCN1N1CCN(c2cccc(Cl)c2)CC1,9,0.795363665,0.80741024,1,0.457627118
OC1CC2(CCCC2)CC(N2CCN(c3cccc(Cl)c3)CC2)C1O,9,0.800737381,0.698580742,1,0.457627118
OC1(N2CCN(c3cccc(Cl)c3)CC2)CC2(CCCC2)CCO1,9,0.836763859,0.85692811,1,0.449999988
O=C1CC2(CCCC2)CC=C1N1CCN(CC(Cl)(Cl)Cl)CC1,9,0.895956635,0.649822414,1,0.322580636
CCN(C)C(=O)Oc1cc(Cl)c2c(c1Br)CCCC2,10,0.622629464,0.618962765,1,0.339622647
Cc1cccc(C(=N)NOC(=O)C2CC(Cl)CC2Br)c1,11,0.580176175,0.949966967,1,0.481481493
Cc1cccc(C(=N)SOC(=O)C2CCC(C)(Br)C2)c1,11,0.580176175,0.99986881,1,0.322580636
Cc1cccc(C(=N)NOC(=O)C2CC(F)(Br)C2(C)C)c1,11,0.585624039,0.996993661,1,0.472727269
Cc1cccc(C(=N)NOC(=O)C2CC(Br)CC2(F)F)c1,11,0.59098196,0.893784463,1,0.482142866
Cc1cccc(C(=N)NOC(=O)C2CC(Br)CC(F)C2)c1,11,0.596251488,0.996993661,1,0.464285702
Cc1cccc(C(=N)NOC(=O)C2CC3CC(C2)C3Br)c1,11,0.601433873,0.87340486,1,0.490566045
Cc1cccc(C(=N)NOC(=O)C2CCCCC(Br)C2)c1,11,0.601433873,0.950483143,1,0.472727269
Cc1cccc(C(=N)OOC(=O)C2CCCCC(Br)C2)c1,11,0.601433873,0.976025999,1,0.344827592
Cc1cccc(C(=N)NOC(=O)C2CC3CCC(C2)C3Br)c1,11,0.6164729,0.677520871,1,0.481481493
N=C(NOC(=O)C1=CC=CC=C1)C1=BC=CC=CBC=CBC=CC=CC1,11,0.641651928,0.966487825,1,0.301587313
Cc1cccc(C(=N)SOC(=O)C2CCCCCCCCCC2)c1,11,0.648776948,0.671595097,1,0.357142866
Cc1cccc(C(=N)SOC(=O)OC2CCCCCCCCC2)c1,11,0.648776948,0.785384417,1,0.344827592
Cc1cccc(C(=N)SOC(=O)OC2CCCCCCCCCC2)c1,11,0.66151464,0.778529108,1,0.344827592
CCOC(=O)N1CCOc2cc(O)c(CN)cc2C(C)(Cl)C1Cl,12,0.561498404,0.793904424,1,0.305555552
COC(=O)N1CCN=C(SCC(=O)N2CCCCC2)CCC=CCC1,14,0.800737381,0.541992486,1,0.361111104
COC(=O)N1CCC2(CC1)N=C(SCC(=O)N1CCCCC1)C2O,14,0.832223117,0.99514097,1,0.352112681
COC(=O)N1CCC2(CC1)N=C(SCC(=O)N1CCCCC1)CC2,14,0.872454643,0.957166016,1,0.357142866
CN1C(SCC(=O)N2CCCCCC2)=NOC12CCCCCCC2,14,0.935570121,0.958403766,1,0.338235289
CN1C(SCC(=O)N2CCCCCCC2)=NOC12CCCCCCC2,14,0.938215613,0.539354205,1,0.338235289
O=C(O)C(=O)Nc1cccc(C2(O)CCC(=O)C(Br)C2)c1,15,0.533672631,0.999621928,1,0.454545468
O=C(O)C(=O)Nc1cccc(NC(=O)N(O)I)c1,15,0.66151464,0.688732386,1,0.699999988
O=C(O)C(=O)NNC(=O)OC(=O)Nc1cccc(NC(=O)C(=O)O)c1,15,0.691243827,0.975745678,1,0.677419364
O=C(NC(=SO)C(=O)O)C(=O)Nc1cccc(NC(=O)C(=O)O)c1,15,0.729832113,0.996368587,1,0.65625
O=C(O)C(=O)Nc1cc(I)c(O)c(C(=O)O)c1,15,0.760067225,0.864563823,1,0.428571433
O=C(O)C(=O)Nc1cc(I)cc(NC(=O)O)c1,15,0.763885319,0.815904319,1,0.533333361
O=C(O)C(=O)Nc1cc(I)c(NC(=O)O)c(O)c1,15,0.771268129,0.629567623,1,0.416666657
O=C(O)C(=O)Nc1cc(Br)cc(SC(=O)C(=O)O)c1,15,0.781742692,0.707609832,1,0.405405402
O=C(O)C(=O)Nc1cc(F)cc(NC(=O)C(=O)O)c1Br,15,0.788350761,0.761665165,1,0.393939406
O=C(O)C(=O)Nc1c(F)c(Cl)c(F)c(NC(=O)C(=O)O)c1Cl,15,0.800737381,0.998171568,1,0.375
O=C(O)C(=O)NC1=CC(=O)C(I)(C(=O)O)NC1,15,0.81366086,0.971820235,1,0.317073166
O=C(O)C(=O)NC1=CC(=O)CC(I)(C(=O)O)C1,15,0.861775637,0.944510758,1,0.333333343
O=C(O)C(=O)NC1=CC(NC(=O)C(=O)NC(=O)C(O)=S)=CP1,15,0.889526904,0.533008635,1,0.375
O=C(O)C(=O)NC(=O)C(=O)NC1=PPC(NC(=O)C(=O)O)=C1,15,0.923116326,0.64704603,1,0.333333343
O=C(O)C(=O)NC(=O)NC(=O)NC1=PPC(NC(=O)C(=O)O)=C1,15,0.926543832,0.850833118,1,0.317073166
O=C1CC[NH+](CC2=C(Br)CCCC2)CCCCCCCC1,16,0.894401729,0.995877147,1,0.366666675
N=C1CCCC1C1CCCCCCCC(=O)CCCC1C1CCCC1=N,16,0.913438976,0.977716386,1,0.423076928
O=C1CCCCC(CCO)CCCCCCCCCCCCCCCC1,16,0.914600432,0.595432401,1,0.458333343
O=C1CCCCC[NH+](CC2CCCCC2)CCCCCCCCCC1,16,0.939061701,0.843416393,1,0.423076928
N=C1CCCC1C1CCCCC(=O)CCC(C2CCCCC2)CCCC1,16,0.940703094,0.951568127,1,0.37931034
CN=C(NNC(=O)c1cccc(C(F)(F)F)c1)N1CC(C)C1C(C)C,17,0.691243827,0.99998486,1,0.317073166
CN=C(NC(=O)c1cccc(C(F)(F)F)c1)NC1CCCCC1(C)C,17,0.695197105,0.9945755,1,0.317073166
CN=C(NNC(=O)c1cccc(C(F)(F)F)c1)NC1CCC(C)CC1,17,0.699081361,0.99998486,1,0.300000012
CN=C(NNC(=O)c1cccc(C(F)(F)F)c1)C1(C)CCCC1(C)C,17,0.740475535,0.9945755,1,0.316455692
CC1=CCC2CC1C(c1ccc(O)c(C)c1)OC2(C)CBr,18,0.539407492,0.875217497,1,0.75
CC1=CC2CC(c3ccc(O)c(C)c3)C3CCC(O)CC32C1OC(C)=O,18,0.559964657,0.999998868,1,0.314285725
CCC1CCCC2CC1C(c1ccc(O)c(C(F)(F)F)c1)OC2(C)C,18,0.644388735,0.999998212,1,0.369230777
CC1=CCC2CC1C(c1ccc(O)c(C3CCCC3(C)C)c1)OC2(C)C,18,0.66151464,0.981868565,1,0.679245293
CC1=CCC2CC1C(c1ccc(O)c(C)c1)OC2(C)C1CC2CC(C1)O2,18,0.665622473,0.981032908,1,0.720000029
CC1=CCC2CC1C(c1ccc(O)c(C3CCCC(O)C3)c1)OC2(C)C,18,0.665622473,0.999982595,1,0.654545426
CC1=CCC2CC1C(c1ccc(O)c(C)c1)OC2(C)C1CC2CCC(C2)C1,18,0.681396246,0.600586832,1,0.70588237
CC1=CCC2CC1C(c1cc(O)c(C3CCCCC3)c(C)c1)OC2(C)C,18,0.760067225,0.981868565,1,0.641509414
CC1=CCC2CC1C(c1cc(O)c(C3CCCCC3)c(O)c1)OC2(C)C,18,0.760067225,0.999982595,1,0.615384638
CSC1CC(C2OC(C)(C)C3CC=C(C)C2C3)=CPP=C1O,18,0.856996894,0.999992371,1,0.459016383
CC1=CCC2CC1C(P[P]1=C(O)CP(Cl)B1)OC2(C)C,18,0.919447064,0.785821021,1,0.409836054
CC1=CCC2CC1C(P[P]1=CC(O)CP(Cl)B1)OC2(C)C,18,0.923116326,0.778088272,1,0.396825403
CC1=CCC2CC1C1CCCC(C(C)C(=O)O)CCCC1OC2(C)C,18,0.934650898,0.730787933,1,0.380952388
CC1=CCC2CC1C1CCCC(C(C)C(=O)O)OCCC1OC2(C)C,18,0.934650898,0.837868989,1,0.358208954
CC1=CCC2CC1C(C1CCCC(O)C1C(=O)O)CC(C)(C)OC2(C)C,18,0.935570121,0.721551716,1,0.333333343
CC1=CCC2CC1C1CCCC(C(C)C(=O)O)CCCC1(C)OC2(C)C,18,0.93647033,0.829877436,1,0.328358203
CC1=CC=C2SN=C(N=CC3=CPN=NCC[SH]3Cl)C2=C1,19,0.500553131,0.999212265,1,0.483333319
CC1=CC=C2SN=C(N=CC3COP=BCC[SH]3Cl)C2=C1,19,0.556100905,0.999795973,1,0.444444448
Cc1ccc2snc(N=CC3COP=NCC[N-]C3Cl)c2c1,19,0.572049379,0.965445578,1,0.41538462
CC1=PC=C2SN=C(N=CC3=CP=PC[SH]3Cl)C2=C1,19,0.637874603,0.821187615,1,0.349206358
CC1=PC=C2SN=C(N=CC3=CP=NCC[S]3Cl)C2=C1,19,0.652313709,0.973243296,1,0.338461548
CC1=PC=C2SN=C(N=CC3CP=NCC[SH]3Cl)C2=C1,19,0.70664829,0.866517425,1,0.318181813
N#CC(c1cncs1)N1CCN(C(=O)O)Cc2ccccc2CCC1,22,0.50862664,0.99999994,1,0.606557369
N#CC(c1cncs1)N1CCN(C(=O)O)CCCC2CCCC=C2C1,22,0.756949723,0.921782017,1,0.50746268
N#CC(c1ccccc1)N1CCN(C(=O)O)CCCCCCCCCC1,22,0.808426559,0.994492233,1,0.456140339
N#CC(N1CCCCC1)N1CCN(C(=O)O)CCCc2ccccc2C1,22,0.808426559,0.999997377,1,0.304347813
N#CC(c1cccs1)N1CCN(C(=O)O)CCCCC(Cl)CC1,22,0.825062513,0.998455524,1,0.397058815
N#CC(c1cccs1)N1CCN(C(=O)O)CCCCC(O)CCC1,22,0.832223117,0.88359797,1,0.397058815
N#CC(c1cccs1)N1CCN(C(=O)O)CCCCC(F)(F)CC1,22,0.868827522,0.995219231,1,0.391304344
N#CC(c1cncs1)N1CCN(C(=O)O)CCCCCCCCC1,22,0.872454643,0.837320447,1,0.618181825
N#CC(c1cncs1)N1CCN(C(=O)O)CCCCCCCCCC1,22,0.8776263,0.722192824,1,0.618181825
N#CC(c1cncs1)N1CCN(C(=O)O)CCCCC2(CCCC2)C1,22,0.8776263,0.83265698,1,0.532258093
N#CC(c1cccs1)N1CCN(C(=O)O)CCCC2(CCCC2)CC1,22,0.8776263,0.879659414,1,0.402985066
N#CC(c1cncs1)N1CCCCCCCCCCCCCCCC1,22,0.912254095,0.875714183,1,0.529411793
Cc1c(Cl)cccc1S(=O)(=O)N(Cl)C(=O)N(O)OC(=N)O,23,0.574637055,0.985452116,1,0.435483873
CC(=N)ON(O)C(=O)N(Cl)S(=O)(=O)c1cccc(Cl)c1C,23,0.574637055,0.999662042,1,0.412698418
CC(=N)N(Cl)C(=O)N(Cl)S(=O)(=O)c1cccc(Cl)c1C,23,0.617360413,0.976368845,1,0.393442631
CCC#CC#COC(=O)NC1C(NC(=O)OC#CCC)N(C)C(=O)N1C,24,0.753774881,0.92593646,1,0.511627913
C#CC#COC(=O)NC1C(NC(=O)OC#CC#CCC)N(C)C(=O)N1C,24,0.798076093,0.999940574,1,0.478260875
CC#CCC#COC(=O)N(Cl)C1C(NC(=O)OC)N(C)C(=O)N1C,24,0.822577536,0.999491334,1,0.363636374
CC(Br)OC(=O)NC1C(C)N(C)C(=O)N1C(=O)N(C)C,24,0.83353889,0.871444941,1,0.360000014
COC(=O)NC1C(NC(=O)OOC(=N)C(=O)OC)N(C)C(=O)N1C,24,0.861107349,0.657176375,1,0.465116292
COC(=O)C(=N)OOC(=O)NC1C(NC(=O)NO)N(C)C(=O)N1C,24,0.861107349,0.715944171,1,0.434782594
CCOC(=O)NC1C(C)C(Br)C(C)C(F)(F)C(C)N1C,24,0.876785874,0.99686861,1,0.333333343
CCOC(=O)NC1C(Br)C(C)C(F)C(C)(C)C(C)(C)N1C,24,0.880637109,0.554735601,1,0.326923072
CC(O)NC1C(Br)C(Br)N(C)C(=O)N1C,24,0.89281249,0.521436036,1,0.318181813
Cn1nnnc1SCC#CC#CC#Cc1ccccc1Br,25,0.611543179,0.996892214,1,0.372881353
Cc1ccccc1CC#CC#CNC#CC#CC#CSc1nnnn1C,25,0.677549005,0.994801342,1,0.457627118
Cn1nnnc1SC#CC#CC#CNC#CC#CCc1ccccc1N,25,0.677549005,0.999994576,1,0.359375
Cc1ccccc1CC#CC#CC#CC#CC#CC#CSc1nnnn1C,25,0.688905239,0.72696209,1,0.481481493
Cc1ccccc1SC#CC#CC#CC#CC#CSc1nnnn1C,25,0.713955462,0.980120182,1,0.415094346
Cn1nnnc1SC#CC#CC#CC#CC#CNc1ccccc1C#N,25,0.72445184,0.920699894,1,0.317460328
Cc1ccccc1CC#CC#CC#CC#CC#CC#CSn1nnn1C,25,0.72445184,0.922190785,1,0.305084735
C=C(c1ccccc1)n1cc(I)ccccnc1,26,0.503676534,0.710960805,1,0.611111104
C=C(c1ccccc1)n(ccncccc1Br)nccnc1,26,0.517665923,0.99273026,1,0.422222227
C=C(c1ccccc1)n1cc(Br)ccccnccncc1,26,0.572049379,0.976176322,1,0.578947365
C=C1C=CP=CC=PC(=C(C2=CC=CC=P2)N2C=CN=C2)C1=C,26,0.587282121,0.915846765,1,0.321428567
C=C(c1ccccc1)N1CC(=CI)N=C(O)OC1,26,0.617360413,0.999596775,1,0.306122452
O=C(O)C1=C(C2=CCCc3cc(Cl)ccc32)CCC(Cl)C1Cl,27,0.500553131,0.992621899,1,0.428571433
OC(CP)c1c(P)cc2c(c1Cl)CCc1cc(Cl)ccc1-2,27,0.539407492,0.997482657,1,0.387755096
O=C(O)c1c(O)c2c(c(Cl)c1C(=O)O)CCc1cc(Cl)ccc1-2,27,0.561498404,0.947317958,1,0.547619045
O=C(O)c1c(F)c2c(c(Cl)c1C(=O)O)CCc1cc(Cl)ccc1-2,27,0.561498404,0.991598487,1,0.5
OC(=P)C(O)C1=PN=C2C3=CC=C(Cl)C=C3CCC2=C1P,27,0.596251488,0.99673295,1,0.365384609
O=C(O)C1=CC=C2C(=C1)CCC1=PC(Cl)=C(C(O)N)C(S)=C21,27,0.606530666,0.964725196,1,0.450980395
O=C(O)C1=C(C2(Cl)CCC(Cl)CC2)c2ccc(Cl)cc2CC1,27,0.611543179,0.949080706,1,0.478260875
O=C(O)C1(C2=C(Cl)CCc3cc(Cl)ccc32)CCCNCCC1,27,0.630778849,0.976730525,1,0.4375
OC(=P)C(O)C1=P=C2C3=CC=C(Cl)C=C3CCCC2=C1P,27,0.652313709,0.999760211,1,0.352941185
O=C(O)C1CCC(Cl)(C2CCc3cc(Cl)ccc3C2=S)CC1,27,0.665992558,0.99635154,1,0.400000006
O=C(O)C1CCC(Cl)(C(=O)N2CCCc3cc(Cl)ccc32)CC1,27,0.678955317,0.99980402,1,0.333333343
O=C(O)C1(C2=C(Cl)CCc3cc(Cl)ccc32)CCCCCCC1,27,0.683124363,0.95135802,1,0.477272719
O=C(O)C1(C2=C(Cl)CCc3cc(Cl)ccc32)CCCCCCCC1,27,0.695197105,0.553952813,1,0.477272719
O=C(O)C1CCC(C2(Cl)CCc3cc(Cl)ccc3C(O)C2)CC1,27,0.729832113,0.996561408,1,0.314814806
O=C(O)C1(C(Cl)=C2CCCCc3cc(Cl)ccc32)CCCCC1,27,0.733446479,0.95135802,1,0.425531924
O=C(O)C1CCC(Cl)(C2CCCc3cc(Cl)ccc3CC2)CC1,27,0.733446479,0.993500412,1,0.326923072
O=C(O)C1(C(Cl)=C2CCc3cc(Cl)ccc3CCC2)CCCCC1,27,0.743893087,0.553952813,1,0.360000014
O=C(O)c1cc(Cl)c2c(c1)CCC(Cl)(C1CC1)C2(Cl)Cl,27,0.791548312,0.971913159,1,0.326530606
O=C(O)c1cc(Cl)c2c(c1)CCC(C1CCCCC1)C2(Cl)Cl,27,0.814810276,0.87130779,1,0.313725501
O=C(O)C1(c2cc(Cl)cc3c2CCCCCC3)CC1(Cl)Cl,27,0.84822762,0.680269361,1,0.3125
O=C(O)C1(c2cc(Cl)cc3c2CCCC3)CCCCC1(Cl)Cl,27,0.856996894,0.87130779,1,0.300000012
O=C(NC1CCCCC1)c1ccc(Cl)c(C(Cl)(Cl)Cl)c1,30,0.694018424,0.990861893,1,0.558139563
O=C(NC1CCCC1)C1CCC(Br)c2ccc(Cl)cc21,30,0.702519298,0.999702334,1,0.46808511
O=C(N=C(NC1CCCC1)N1CCPCC1)C1=CC=CC(Cl)=C1,30,0.740475535,0.898401499,1,0.540000021
O=C(NC1CCCC1)c1cc(Cl)cc(I)c1,30,0.763885319,0.790985584,1,0.615384638
O=C(NC1CCCCC1)c1cc(Cl)cc(I)c1,30,0.774837434,0.772834599,1,0.600000024
O=C(NC1CCCCC1)c1cc(Cl)c(Br)c(Cl)c1,30,0.781742692,0.865448952,1,0.550000012
OS=C(N=C(NC1CCCCC1)(N1CCCC1))c1cccc(Cl)c1,30,0.795363665,0.516265035,1,0.490196079
O=C(NC1CCCC1)c1cc(Cl)c(I)s1,30,0.80735445,0.996651828,1,0.454545468
O=C(NC1CCCC1)C1=CC(=S)C(Br)=CCCCCC1,30,0.84822762,0.999930382,1,0.320754707
O=C(NC1CCCC1)C1=CC=C(Cl)C(I)C1,30,0.864078164,0.889815509,1,0.454545468
O=C(NC1CCCC1)C1=CC=C(Cl)C(Cl)(Br)CC1,30,0.874791861,0.945115626,1,0.446808517
O=C(NC1CCCCC1)C1=CC=C(I)CCCC1,30,0.878733873,0.961450636,1,0.409090906
O=C(NC1CCCC1)C1=CC(Cl)CC(I)C1,30,0.939270556,0.961126447,1,0.413043469
